pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,vel_x,vel_y,vel_z,omg_x,omg_y,omg_z,delta_x,delta_y,delta_z,f_x,f_y,f_z,f_x_out,f_y_out,f_z_out
1.5431553,0.26718813,-1.4308494,-0.99955326,-1.4411515,-0.7743444,-0.08625421,1.4535973,-2.0596735,-0.119194165,1.0504081,-1.6575398,0.07941373,-1.4604267,2.6799679,0.07324665,1.8598393,1.6181962,0.07106893,1.8598617,1.6185026
1.544428,0.2690512,-1.4295322,-0.99823606,-1.4408091,-0.7705086,-0.08659085,1.4548976,-1.9770854,-0.11007689,1.06864,-1.623456,0.08238483,-1.4590925,2.5971155,0.07238553,1.8609871,1.6196126,0.07021785,1.8610075,1.6199212
1.5496233,0.27483758,-1.4242916,-0.99299544,-1.4365613,-0.7627494,-0.083001524,1.4601213,-1.8954272,-0.09688457,1.090024,-1.5859103,0.08927678,-1.4538348,2.523205,0.075457856,1.8660561,1.6249543,0.073300004,1.8660744,1.625264
1.543079,0.26888525,-1.4307897,-0.9994936,-1.4440693,-0.7668434,-0.091148265,1.4536059,-1.8300989,-0.095288925,1.0989035,-1.560563,0.08442721,-1.4603155,2.442303,0.06680121,1.8593844,1.6185586,0.064653076,1.8594005,1.6188693
1.5486444,0.27504307,-1.4251777,-0.9938815,-1.4394833,-0.7588272,-0.08718191,1.4592004,-1.7569944,-0.081450164,1.1191336,-1.5235621,0.09168496,-1.4546858,2.377992,0.0702645,1.8648206,1.624274,0.06812598,1.8648345,1.6245859
1.5524515,0.27944344,-1.4213232,-0.990027,-1.4366705,-0.75268304,-0.08497006,1.4630371,-1.6897206,-0.06924496,1.1368533,-1.4887726,0.097182214,-1.4508137,2.3161356,0.0719799,1.8684971,1.6282331,0.06985075,1.8685093,1.628546
1.5511487,0.27873445,-1.422578,-0.99128175,-1.4389815,-0.7516481,-0.08786446,1.4617645,-1.6313448,-0.062031254,1.1487193,-1.4595428,0.09756706,-1.4520502,2.253086,0.06859534,1.8670624,1.6270838,0.06647487,1.8670721,1.6273962
1.549074,0.2772544,-1.4246038,-0.9933076,-1.4420776,-0.7513843,-0.09152679,1.4597203,-1.5772108,-0.055479914,1.159081,-1.4315308,0.09717776,-1.4540578,2.1928544,0.06444842,1.8648543,1.625163,0.062337693,1.864862,1.625477
1.5449765,0.27375197,-1.4286519,-0.99735576,-1.447209,-0.75325733,-0.09720826,1.4556537,-1.5284092,-0.05085021,1.1666939,-1.405985,0.09476285,-1.4580873,2.1340215,0.058288872,1.8606219,1.6212215,0.056187265,1.8606274,1.6215361
1.5578382,0.28720978,-1.4157399,-0.9844437,-1.4353926,-0.73828465,-0.0859262,1.4685471,-1.465738,-0.029167576,1.1905499,-1.3639193,0.109304905,-1.4451565,2.095344,0.0690987,1.8733475,1.6342407,0.067006215,1.8733512,1.6345564
