pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,vel_x,vel_y,vel_z,omg_x,omg_y,omg_z,delta_pos_x,delta_pos_y,delta_pos_z,delta_ori_x,delta_ori_y,delta_ori_z,f_x_out,f_y_out,f_z_out,torque_x_out,torque_y_out,torque_z_out
1.6055176,-1.7212709,1.0247678,2.5562983,-1.348304,2.3384302,1.7464337,1.9654424,-0.33738676,-2.3737574,-1.6861545,2.618471,-1.628242,-1.9851422,0.33738676,2.0605185,-1.5007,2.6224525,1.1395601,1.0080179,-1.0016751,1.0075134,1.0075291,1.0088158
1.6019087,-1.7069812,1.0135661,2.539816,-1.3204339,2.3245742,1.6311854,1.960136,0.00676415,-2.3511217,-1.5918689,2.5988996,-1.3947561,-1.9765483,-0.00676415,2.0214276,-1.2891567,2.5941293,1.1473777,1.0183858,-1.0024157,1.0181559,1.018062,1.019334
1.5982916,-1.6927382,1.0103502,2.5235546,-1.2959957,2.3108227,1.4428589,1.9391006,0.09051796,-2.3246822,-1.4047325,2.5738947,-1.2394406,-1.9484568,-0.09051796,1.9987234,-1.1416758,2.5700777,1.155884,1.0300314,-1.008389,1.0298249,1.0297599,1.030924
1.5946691,-1.6786478,1.0090778,2.5074213,-1.2739502,2.2971597,1.3217164,1.9021391,0.4275661,-2.3072836,-1.2858443,2.553115,-1.0045365,-1.9080489,-0.4275661,1.970928,-0.9132989,2.5408282,1.1689686,1.0477988,-1.0211408,1.0478764,1.0477128,1.0488229
1.5910383,-1.6647767,1.0156263,2.4914448,-1.2556099,2.2836046,1.1311591,1.8499908,0.51371515,-2.2863379,-1.0794172,2.5271807,-0.84549046,-1.8487492,-0.51371515,1.9590242,-0.7478359,2.5157309,1.1859739,1.0700287,-1.0356838,1.0701569,1.0700235,1.0709934
1.5874021,-1.6512275,1.0241739,2.4755356,-1.239954,2.2701418,1.005695,1.7826072,0.831518,-2.2741084,-0.93969953,2.5053287,-0.6151598,-1.7779266,-0.831518,1.9427654,-0.51042444,2.485999,1.2093164,1.1000088,-1.0542977,1.1004204,1.1002026,1.1010815
1.5837579,-1.638063,1.0400957,2.4597182,-1.2281498,2.256789,0.8171435,1.7012382,0.9168977,-2.2587051,-0.72095746,2.4787972,-0.45578465,-1.6896195,-0.9168977,1.9413038,-0.33259004,2.460163,1.2313247,1.1291327,-1.0795357,1.1296206,1.1294326,1.1301442
1.580108,-1.6253778,1.0579987,2.4439092,-1.2192307,2.243531,0.68935835,1.6057625,1.2041206,-2.2514055,-0.5650724,2.456061,-0.23610601,-1.5908185,-1.2041206,1.9364431,-0.09435771,2.4304166,1.25882,1.1649581,-1.1083871,1.1657175,1.1654625,1.166049
1.5764505,-1.613229,1.0825665,2.4281275,-1.2141765,2.230383,0.5073327,1.497997,1.2857268,-2.2414298,-0.3415789,2.4292912,-0.08011585,-1.4765732,-1.2857268,1.9447664,0.08971253,2.4041755,1.2869732,1.2018476,-1.1412454,1.2027067,1.2024794,1.2028773
1.5727875,-1.6017005,1.1090279,2.412299,-1.2121087,2.2173314,0.37969887,1.3778064,1.5322312,-2.2386549,-0.17489478,2.405901,0.122956105,-1.3534678,-1.5322312,1.950699,0.32044074,2.3749003,1.3186612,1.243225,-1.1780516,1.2443345,1.2440599,1.244302
