pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,vel_x,vel_y,vel_z,omg_x,omg_y,omg_z,delta_x,delta_y,delta_z,f_x,f_y,f_z,f_x_out,f_y_out,f_z_out
1.4732203,0.36803293,-1.0812956,-1.0581534,-0.79182106,-0.6553952,-0.30220053,1.4863183,-2.0074658,-2.3430693,4.475992,-0.041816756,0.29551455,-1.4929829,2.4379392,-0.29555565,1.4763486,-2.8821654,-0.29621962,1.4762392,-2.873353
1.4719033,0.36758158,-1.0824504,-1.0593085,-0.7979929,-0.65654993,-0.30420035,1.4847835,-2.0166059,-2.3204644,4.457986,-0.04005089,0.29520485,-1.4937575,2.4446943,-0.29734585,1.475095,-2.8731275,-0.29801515,1.474984,-2.8641887
1.4792589,0.37580293,-1.0749322,-1.0517908,-0.79547244,-0.6489215,-0.2975318,1.4919207,-2.0171454,-2.2890317,4.4481063,-0.029616427,0.30357265,-1.4858584,2.4601948,-0.29046845,1.4825128,-2.8552942,-0.29114312,1.4824013,-2.846217
1.4709375,0.36834756,-1.0830905,-1.0599496,-0.8086088,-0.65707994,-0.30654448,1.4833808,-2.033355,-2.2731316,4.4220233,-0.034861233,0.29626852,-1.493635,2.46001,-0.29927298,1.4742535,-2.8530035,-0.29995295,1.4741406,-2.843812
1.481633,0.37990943,-1.0722315,-1.0490911,-0.80270696,-0.6461106,-0.2965444,1.4938576,-2.030482,-2.238082,4.4144454,-0.021090534,0.3079866,-1.4823937,2.478776,-0.28906536,1.4850103,-2.8315852,-0.28975084,1.4848957,-2.8222916
1.4809735,0.38011664,-1.072727,-1.049587,-0.80813867,-0.646606,-0.29790357,1.492979,-2.0388632,-2.2142684,4.395019,-0.01867645,0.30835494,-1.4825062,2.4860857,-0.29021773,1.4844109,-2.8214235,-0.29090852,1.4842957,-2.8120036
1.4761914,0.3762014,-1.0773445,-1.0542051,-0.8176709,-0.65111345,-0.30338985,1.4879779,-2.0512025,-2.1944675,4.3709908,-0.020385368,0.3046058,-1.48674,2.4891062,-0.29549766,1.4796888,-2.8152618,-0.29619378,1.479572,-2.8057399
1.4730209,0.37389836,-1.0803499,-1.0572108,-0.82556856,-0.6541187,-0.30726853,1.4845881,-2.061724,-2.1729555,4.348112,-0.020482145,0.30247396,-1.489361,2.4935303,-0.29917052,1.4765774,-2.8073902,-0.29987207,1.4764591,-2.797766
1.478203,0.37994787,-1.0750024,-1.0518638,-0.8250907,-0.6487713,-0.3027993,1.4895506,-2.0636666,-2.1430044,4.333137,-0.012226827,0.3086997,-1.4836286,2.5060778,-0.2944961,1.4818172,-2.7910678,-0.29520297,1.4816983,-2.7813292
1.4828931,0.38550577,-1.0701463,-1.047008,-0.8250809,-0.6439152,-0.29882646,1.4940212,-2.0658195,-2.1134655,4.3172364,-0.0044623497,0.3144389,-1.4783869,2.5178485,-0.29031837,1.486565,-2.775127,-0.29103065,1.4864441,-2.7652984
1.4710335,0.37451428,-1.0818396,-1.0587018,-0.84159666,-0.6556084,-0.3114077,1.4819418,-2.0842233,-2.100409,4.284366,-0.013247074,0.30363378,-1.489694,2.512768,-0.30269527,1.4747615,-2.7756498,-0.30341285,1.4746398,-2.765731
1.4746886,0.37903774,-1.0780175,-1.05488,-0.842573,-0.6516762,-0.30847865,1.4853774,-2.0867608,-2.071777,4.2666044,-0.006515474,0.30834875,-1.4854854,2.5228467,-0.29956234,1.4784725,-2.760572,-0.30028534,1.478349,-2.7505631
