Penetration,Velocity of deformation,Contact force,Ncon
-1.2396325292471366e-05,1.617084412767122e-07,50.32656088873103,1
-1.2395908177795234e-05,1.2881985259738772e-07,50.326589019866155,1
-1.2395576151055798e-05,1.0255508157500375e-07,50.32661590300386,1
-1.2395393457528825e-05,8.805414657774122e-08,50.32663328008988,1
-1.2395166900644461e-05,6.99979863820401e-08,50.32665859099929,1
-1.2394987057059992e-05,5.557852424603127e-08,50.32668310987402,1
-1.2394888384434366e-05,4.761793576566159e-08,50.3266990947808,1
-1.2394670136681163e-05,2.979180254854513e-08,50.32674584024617,1
-1.2394594309780849e-05,2.3471387345291644e-08,50.32676871320547,1
-1.2394534833912174e-05,1.842428404917715e-08,50.326791322664306,1
-1.2394475372143332e-05,1.3240023320542846e-08,50.32682114036949,1
-1.2394442364435654e-05,1.0254516997424811e-08,50.326843320857236,1
-1.2394410089586194e-05,7.1879926760070115e-09,50.32687271777979,1
-1.2394397962731118e-05,5.967149780452532e-09,50.32688735456956,1
-1.2394392737910542e-05,5.42207906321251e-09,50.32689465961058,1
-1.2394379954691614e-05,4.012062169143384e-09,50.32691652832253,1
-1.2394373507737533e-05,3.233733581066824e-09,50.32690056214639,1
-1.2394361769793583e-05,1.4911400921533216e-09,50.32697459717347,1
-1.2394359155662449e-05,8.734263142926545e-10,50.32699631004609,1
-1.2394358321662913e-05,5.324504637649503e-10,50.327010771562925,1
-1.2394358097841951e-05,2.3898571877424384e-10,50.327025223881925,1
-1.2394358398601368e-05,-1.3583916489475628e-11,50.32700918163623,1
-1.2394359151332579e-05,-2.3095971833707145e-10,50.32702362069756,1
-1.2394360292641848e-05,-4.180465789076909e-10,50.32706853886531,1
-1.239436176868336e-05,-5.790685967841866e-10,50.327082966830424,1
-1.2394363532716723e-05,-7.176566094863057e-10,50.32706690681594,1
-1.2394368953158597e-05,-9.854339852260162e-10,50.3271334380835,1
-1.2394370178844816e-05,-1.0279588498506628e-09,50.327140645737316,1
-1.2394374081500792e-05,-1.1379711332048983e-09,50.32713178077284,1
-1.2394376845401012e-05,-1.1987065175645024e-09,50.32714619204097,1
-1.2394385730293833e-05,-1.3347216346211704e-09,50.327189420017426,1
-1.2394390426981317e-05,-1.3829600357148468e-09,50.32721103202798,1
-1.2394393629530653e-05,-1.4095971941497764e-09,50.32722543970278,1
-1.2394400170187558e-05,-1.4522695156908919e-09,50.32725425475706,1
-1.239440854204632e-05,-1.4904483593494722e-09,50.327320769538304,1
-1.239440854204632e-05,-1.4904483593494722e-09,50.32729027415679,1
-1.2394415352709465e-05,-1.512220296277485e-09,50.32731909082734,1
-1.2394417067226882e-05,-1.5167215497598457e-09,50.3273262951982,1
-1.23944239653756e-05,-1.5317291869555369e-09,50.327355113781444,1
-1.2394425698433742e-05,-1.5348347619161418e-09,50.32736231871631,1
-1.2394430913595378e-05,-1.5428782858251371e-09,50.32738393423715,1
-1.2394436149851251e-05,-1.549324813246173e-09,50.32740555094577,1
-1.2394444912841585e-05,-1.5573527824318603e-09,50.32747208947919,1
-1.2394444912841585e-05,-1.5573527824318603e-09,50.32744158159565,1
-1.2394451947214669e-05,-1.5619628685348708e-09,50.32747040876675,1
-1.239445547061846e-05,-1.563808030849911e-09,50.32748482327066,1
-1.2394457233430578e-05,-1.5646350991357309e-09,50.32749203074767,1
-1.2394464292561636e-05,-1.567412176477689e-09,50.327551376965744,1
-1.2394467825402322e-05,-1.5685303631841115e-09,50.32753527895511,1
